TicketID;AV;FV;OV
BOOKKEEPER-1105;12;14*13;11
BOOKKEEPER-1104;none;12;11
BOOKKEEPER-1103;12;12;11
BOOKKEEPER-1102;12;12;11
BOOKKEEPER-1101;none;12;11
BOOKKEEPER-1098;none;12;11
BOOKKEEPER-1079;12;12;11
BOOKKEEPER-1077;none;12;11
BOOKKEEPER-1075;none;12;11
BOOKKEEPER-1074;none;12;11
BOOKKEEPER-1073;none;12;11
BOOKKEEPER-1072;none;12;11
BOOKKEEPER-1071;12;12;11
BOOKKEEPER-1061;none;12;11
BOOKKEEPER-1058;none;12;11
BOOKKEEPER-1047;none;12;11
BOOKKEEPER-1044;none;12;11
BOOKKEEPER-1031;11;12;11
BOOKKEEPER-1021;none;12;11
BOOKKEEPER-1020;12;12;11
BOOKKEEPER-1018;none;12;11
BOOKKEEPER-1013;none;12;11
BOOKKEEPER-999;11;12;11
BOOKKEEPER-989;none;12;11
BOOKKEEPER-988;none;12;11
BOOKKEEPER-987;12;12;11
BOOKKEEPER-986;none;12;11
BOOKKEEPER-984;none;12;11
BOOKKEEPER-980;none;12;11
BOOKKEEPER-959;11;12;11
BOOKKEEPER-958;none;12;11
BOOKKEEPER-957;none;none;11
BOOKKEEPER-956;none;12;11
BOOKKEEPER-955;none;12;11
BOOKKEEPER-952;none;12;11
BOOKKEEPER-940;12;12;11
BOOKKEEPER-939;none;12;11
BOOKKEEPER-938;12;12;11
BOOKKEEPER-933;none;12;11
BOOKKEEPER-927;10;12;10
BOOKKEEPER-926;9;11;10
BOOKKEEPER-925;none;11;10
BOOKKEEPER-924;10;12;10
BOOKKEEPER-921;11;11;10
BOOKKEEPER-919;none;11;10
BOOKKEEPER-917;11;11;10
BOOKKEEPER-914;none;11;10
BOOKKEEPER-913;none;11;10
BOOKKEEPER-911;10;11;10
BOOKKEEPER-910;10;11;10
BOOKKEEPER-909;10;11;10
BOOKKEEPER-908;10;12;10
BOOKKEEPER-907;none;12;10
BOOKKEEPER-904;11;11;10
BOOKKEEPER-903;none;12;10
BOOKKEEPER-902;none;11;10
BOOKKEEPER-900;10;11;10
BOOKKEEPER-899;10;11;10
BOOKKEEPER-898;10;11;10
BOOKKEEPER-897;none;11;10
BOOKKEEPER-893;10;11;10
BOOKKEEPER-891;none;11;10
BOOKKEEPER-890;10;11;10
BOOKKEEPER-884;none;none;10
BOOKKEEPER-883;none;11*10;10
BOOKKEEPER-872;none;none;9
BOOKKEEPER-863;none;11;9
BOOKKEEPER-859;1*7;none;9
BOOKKEEPER-858;none;11;9
BOOKKEEPER-854;none;11*9;8
BOOKKEEPER-852;7;12;8
BOOKKEEPER-848;7;11;8
BOOKKEEPER-847;none;none;8
BOOKKEEPER-840;none;11*9;8
BOOKKEEPER-839;none;11*9;8
BOOKKEEPER-838;none;11*9;8
BOOKKEEPER-835;none;11*9;8
BOOKKEEPER-834;none;11*9;8
BOOKKEEPER-833;none;11*9;8
BOOKKEEPER-831;none;11;8
BOOKKEEPER-829;none;none;8
BOOKKEEPER-828;none;11;8
BOOKKEEPER-823;none;11;8
BOOKKEEPER-821;7;11;8
BOOKKEEPER-815;7*8;1*11*9;8
BOOKKEEPER-814;7;11*9;8
BOOKKEEPER-813;7;11*9;8
BOOKKEEPER-809;7;11*9;8
BOOKKEEPER-805;7;11*9;8
BOOKKEEPER-804;7;11*9;8
BOOKKEEPER-803;none;11;8
BOOKKEEPER-802;none;11;8
BOOKKEEPER-801;none;11;8
BOOKKEEPER-800;none;1*11*9;8
BOOKKEEPER-799;none;1*11*9;8
BOOKKEEPER-798;none;none;8
BOOKKEEPER-797;7;11;8
BOOKKEEPER-795;none;1*11*9;8
BOOKKEEPER-794;none;11;8
BOOKKEEPER-793;none;11;8
BOOKKEEPER-786;none;7;8
BOOKKEEPER-785;none;7;8
BOOKKEEPER-784;none;7;8
BOOKKEEPER-783;none;7;8
BOOKKEEPER-780;none;7;8
BOOKKEEPER-779;none;7;8
BOOKKEEPER-778;none;7;8
BOOKKEEPER-777;none;7;8
BOOKKEEPER-774;none;7;8
BOOKKEEPER-769;none;11;7
BOOKKEEPER-768;6;7;7
BOOKKEEPER-767;none;7*8;7
BOOKKEEPER-766;none;7*8;7
BOOKKEEPER-765;none;7*8;7
BOOKKEEPER-763;none;7;7
BOOKKEEPER-755;none;7*8;7
BOOKKEEPER-752;6;8;7
BOOKKEEPER-751;none;7*8;7
BOOKKEEPER-750;none;7*8;7
BOOKKEEPER-746;none;7*8;7
BOOKKEEPER-745;none;7*8;7
BOOKKEEPER-744;none;7*8;7
BOOKKEEPER-743;none;7*8;7
BOOKKEEPER-742;none;7*8;7
BOOKKEEPER-740;none;7;7
BOOKKEEPER-739;none;7;7
BOOKKEEPER-731;none;7;7
BOOKKEEPER-730;none;7*8;7
BOOKKEEPER-729;none;7;7
BOOKKEEPER-728;none;7;7
BOOKKEEPER-727;none;7;7
BOOKKEEPER-726;none;7*8;7
BOOKKEEPER-725;none;7*8;7
BOOKKEEPER-724;none;7;6
BOOKKEEPER-720;none;7;6
BOOKKEEPER-719;none;7;6
BOOKKEEPER-714;none;7*8;6
BOOKKEEPER-712;5;7*8;6
BOOKKEEPER-711;6;7*8;6
BOOKKEEPER-710;none;7*8;6
BOOKKEEPER-709;none;7;6
BOOKKEEPER-708;none;7*8;6
BOOKKEEPER-700;none;7;6
BOOKKEEPER-698;none;7;6
BOOKKEEPER-695;7;1*11*10;6
BOOKKEEPER-689;none;none;5
BOOKKEEPER-688;4;7*8;5
BOOKKEEPER-686;4;7;5
BOOKKEEPER-685;none;6;5
BOOKKEEPER-684;none;6;5
BOOKKEEPER-683;none;6*7;5
BOOKKEEPER-680;none;none;1
BOOKKEEPER-679;none;6;5
BOOKKEEPER-678;none;7;5
BOOKKEEPER-676;none;7;5
BOOKKEEPER-673;none;7*8;5
BOOKKEEPER-671;5;none;5
BOOKKEEPER-669;none;6;5
BOOKKEEPER-668;5*7;6*7;5
BOOKKEEPER-667;5;6*7;5
BOOKKEEPER-664;5;6*7;5
BOOKKEEPER-663;none;6*7;5
BOOKKEEPER-660;4;6;5
BOOKKEEPER-654;4;7;5
BOOKKEEPER-652;none;6*7;5
BOOKKEEPER-649;none;6*7;5
BOOKKEEPER-646;5;6*7;5
BOOKKEEPER-642;none;6*7;5
BOOKKEEPER-641;5;7;5
BOOKKEEPER-638;7;7;5
BOOKKEEPER-636;5*7;6*7;5
BOOKKEEPER-635;none;6*7;5
BOOKKEEPER-633;7;7;5
BOOKKEEPER-632;5*7;6*7;5
BOOKKEEPER-626;5*7;6*7;5
BOOKKEEPER-625;5;6;5
BOOKKEEPER-624;5;6*7;5
BOOKKEEPER-623;5*7;6*7;5
BOOKKEEPER-621;5;6;5
BOOKKEEPER-620;none;6*7;5
BOOKKEEPER-619;5;6*7;5
BOOKKEEPER-617;none;7;5
BOOKKEEPER-610;none;7;5
BOOKKEEPER-607;4*5;6*7;5
BOOKKEEPER-604;none;6*7;5
BOOKKEEPER-603;4*5;6*7;5
BOOKKEEPER-602;4*5;7*8;5
BOOKKEEPER-601;4*5;6*7;5
BOOKKEEPER-600;4*5;6*7;5
BOOKKEEPER-599;4*5;7;5
BOOKKEEPER-598;5;6*7;5
BOOKKEEPER-597;none;7;5
BOOKKEEPER-596;4*5;6*7;5
BOOKKEEPER-594;none;11;4
BOOKKEEPER-586;none;7;4
BOOKKEEPER-585;none;6*7;4
BOOKKEEPER-584;4;6*7;4
BOOKKEEPER-583;5;6*7;4
BOOKKEEPER-581;4*5;6*7;4
BOOKKEEPER-580;none;6*7;4
BOOKKEEPER-579;none;6*7;4
BOOKKEEPER-578;none;11;4
BOOKKEEPER-577;none;6*7;4
BOOKKEEPER-569;none;5*7;4
BOOKKEEPER-568;4;5*7;4
BOOKKEEPER-567;none;5*7;4
BOOKKEEPER-561;none;7;4
BOOKKEEPER-559;4;6*7;4
BOOKKEEPER-557;none;7;4
BOOKKEEPER-556;none;6*7;4
BOOKKEEPER-554;4;5*7;4
BOOKKEEPER-549;none;5*7;2
BOOKKEEPER-548;none;5*7;2
BOOKKEEPER-544;none;7;2
BOOKKEEPER-543;2;4*3;2
BOOKKEEPER-539;none;4;2
BOOKKEEPER-538;none;4;2
BOOKKEEPER-534;none;4;2
BOOKKEEPER-533;none;4;2
BOOKKEEPER-532;none;4;2
BOOKKEEPER-531;none;4;2
BOOKKEEPER-530;2;4;2
BOOKKEEPER-524;4;4;2
BOOKKEEPER-522;none;4;2
BOOKKEEPER-520;none;4;2
BOOKKEEPER-514;none;4;2
BOOKKEEPER-513;none;4;2
BOOKKEEPER-512;none;4;2
BOOKKEEPER-511;none;4;2
BOOKKEEPER-509;none;4;2
BOOKKEEPER-507;none;4;2
BOOKKEEPER-504;none;4;2
BOOKKEEPER-503;none;4;2
BOOKKEEPER-500;2*4;4;2
BOOKKEEPER-498;none;4;2
BOOKKEEPER-497;none;4;2
BOOKKEEPER-493;none;4;2
BOOKKEEPER-485;none;4;2
BOOKKEEPER-484;none;4;2
BOOKKEEPER-483;none;4;2
BOOKKEEPER-482;none;4;2
BOOKKEEPER-481;none;4;2
BOOKKEEPER-480;none;4;2
BOOKKEEPER-479;none;4;2
BOOKKEEPER-477;none;4;2
BOOKKEEPER-475;none;4;2
BOOKKEEPER-474;none;4;2
BOOKKEEPER-471;none;4;2
BOOKKEEPER-470;none;4;2
BOOKKEEPER-469;none;4;2
BOOKKEEPER-468;none;4;2
BOOKKEEPER-467;none;4;2
BOOKKEEPER-466;none;4;2
BOOKKEEPER-465;4;4;2
BOOKKEEPER-461;none;4;2
BOOKKEEPER-458;none;4;2
BOOKKEEPER-457;2;4;2
BOOKKEEPER-454;none;4;2
BOOKKEEPER-447;4;4*3;2
BOOKKEEPER-446;4;6*7;2
BOOKKEEPER-442;2*4;4;2
BOOKKEEPER-441;4;4;2
BOOKKEEPER-439;2*4;4;2
BOOKKEEPER-436;none;4;2
BOOKKEEPER-434;none;4;2
BOOKKEEPER-427;4;4;2
BOOKKEEPER-425;none;4;2
BOOKKEEPER-424;1*2;4;2
BOOKKEEPER-415;none;4;2
BOOKKEEPER-413;none;4;2
BOOKKEEPER-408;2;4;2
BOOKKEEPER-404;none;4;2
BOOKKEEPER-403;4;4;2
BOOKKEEPER-397;4;4;2
BOOKKEEPER-396;2;4*3;2
BOOKKEEPER-395;none;4;2
BOOKKEEPER-392;none;4;2
BOOKKEEPER-387;2;4*3;2
BOOKKEEPER-383;2;4;2
BOOKKEEPER-382;1*2;4;2
BOOKKEEPER-381;none;4;2
BOOKKEEPER-377;4;none;2
BOOKKEEPER-374;4;none;2
BOOKKEEPER-372;none;4*3;2
BOOKKEEPER-371;none;4;2
BOOKKEEPER-365;1*2;4;2
BOOKKEEPER-363;4;7;2
BOOKKEEPER-355;2*4;4;2
BOOKKEEPER-354;4;4*3;2
BOOKKEEPER-352;4;4*3;2
BOOKKEEPER-351;4;4;2
BOOKKEEPER-349;2;4;2
BOOKKEEPER-343;2;4;2
BOOKKEEPER-338;none;4;2
BOOKKEEPER-337;1;4;2
BOOKKEEPER-336;2;4;2
BOOKKEEPER-330;1*2;4;2
BOOKKEEPER-329;1*2;4*3;2
BOOKKEEPER-327;1*2;4*3;2
BOOKKEEPER-326;2;4*3;2
BOOKKEEPER-324;none;4*3;2
BOOKKEEPER-322;none;4;2
BOOKKEEPER-313;5;6*7;2
BOOKKEEPER-307;none;4;2
BOOKKEEPER-306;none;4;2
BOOKKEEPER-303;none;4;2
BOOKKEEPER-302;2;4;2
BOOKKEEPER-298;none;4*3;2
BOOKKEEPER-296;1;4*3;2
BOOKKEEPER-294;2;4*3;1
BOOKKEEPER-292;none;4;1
BOOKKEEPER-291;none;4;1
BOOKKEEPER-288;none;2;1
BOOKKEEPER-287;none;2;1
BOOKKEEPER-286;2;2;1
BOOKKEEPER-285;2;2;1
BOOKKEEPER-281;none;2;1
BOOKKEEPER-280;4;4;1
BOOKKEEPER-279;1;2;1
BOOKKEEPER-274;1*2;4;1
BOOKKEEPER-273;2;2;1
BOOKKEEPER-263;2;2;1
BOOKKEEPER-260;none;2;1
BOOKKEEPER-258;none;2;1
BOOKKEEPER-245;none;2;1
BOOKKEEPER-242;1;2;1
BOOKKEEPER-235;none;2;1
BOOKKEEPER-234;2;2;1
BOOKKEEPER-233;none;none;1
BOOKKEEPER-232;2;2;1
BOOKKEEPER-231;2;2;1
BOOKKEEPER-229;2;2;1
BOOKKEEPER-217;2;2;1
BOOKKEEPER-216;2;2;1
BOOKKEEPER-215;2;2;1
BOOKKEEPER-213;none;2;1
BOOKKEEPER-212;none;2;1
BOOKKEEPER-211;none;2;1
BOOKKEEPER-209;2;2;1
BOOKKEEPER-207;none;2;1
BOOKKEEPER-198;none;2;1
BOOKKEEPER-197;2;2;1
BOOKKEEPER-195;none;2;1
BOOKKEEPER-194;none;2;1
BOOKKEEPER-193;none;2;1
BOOKKEEPER-190;none;2;1
BOOKKEEPER-189;none;2;1
BOOKKEEPER-188;none;2;1
BOOKKEEPER-186;1;2;1
BOOKKEEPER-184;none;2;1
BOOKKEEPER-182;none;2;1
BOOKKEEPER-180;none;2;1
BOOKKEEPER-177;none;2;1
BOOKKEEPER-176;none;2;1
BOOKKEEPER-174;1;2;1
BOOKKEEPER-173;none;2;1
BOOKKEEPER-171;none;2;1
BOOKKEEPER-170;none;2;1
BOOKKEEPER-169;1;2;1
BOOKKEEPER-167;1;2;1
BOOKKEEPER-166;none;2;1
BOOKKEEPER-163;1;2;1
BOOKKEEPER-162;1;2;1
BOOKKEEPER-161;none;2;1
BOOKKEEPER-156;1;2;1
BOOKKEEPER-153;1;2;1
BOOKKEEPER-152;1;2;1
BOOKKEEPER-150;1;2;1
BOOKKEEPER-148;none;2;1
BOOKKEEPER-146;none;2;1
BOOKKEEPER-142;1;2;1
BOOKKEEPER-140;1;2;1
BOOKKEEPER-139;none;1;1
BOOKKEEPER-138;none;1;1
BOOKKEEPER-137;none;2;1
BOOKKEEPER-135;none;2;1
BOOKKEEPER-134;none;1;1
BOOKKEEPER-133;1;2;1
BOOKKEEPER-131;1*2;1;1
BOOKKEEPER-129;1;1;1
BOOKKEEPER-128;none;1;1
BOOKKEEPER-127;none;1;1
BOOKKEEPER-125;none;1;1
BOOKKEEPER-124;none;1;1
BOOKKEEPER-119;none;1;1
BOOKKEEPER-118;1;1;1
BOOKKEEPER-115;none;1;1
BOOKKEEPER-113;none;2;1
BOOKKEEPER-112;none;2;1
BOOKKEEPER-107;1;1;1
BOOKKEEPER-106;none;1;1
BOOKKEEPER-100;none;1;1
BOOKKEEPER-94;1;1;1
BOOKKEEPER-93;1;1;1
BOOKKEEPER-92;1;1;1
BOOKKEEPER-88;none;1;1
BOOKKEEPER-87;none;1;1
BOOKKEEPER-86;none;1;1
BOOKKEEPER-81;1;1;1
BOOKKEEPER-80;1;1;1
BOOKKEEPER-79;1;1;1
BOOKKEEPER-74;none;2;1
BOOKKEEPER-72;none;2;1
BOOKKEEPER-71;1;1;1
BOOKKEEPER-69;1;1;1
BOOKKEEPER-68;none;1;1
BOOKKEEPER-66;none;1;1
BOOKKEEPER-65;none;1;1
BOOKKEEPER-63;none;1;1
BOOKKEEPER-62;none;1;1
BOOKKEEPER-61;1;1;1
BOOKKEEPER-59;none;1;1
BOOKKEEPER-58;none;1;1
BOOKKEEPER-57;1;1;1
BOOKKEEPER-56;1;2;1
BOOKKEEPER-55;1;4;1
BOOKKEEPER-53;1;1;1
BOOKKEEPER-52;1;1;1
BOOKKEEPER-51;1;1;1
BOOKKEEPER-50;1;1;1
BOOKKEEPER-43;1;1;1
BOOKKEEPER-42;none;none;1
BOOKKEEPER-40;none;2;1
BOOKKEEPER-39;1;1;1
BOOKKEEPER-38;1;1;1
BOOKKEEPER-29;none;1;1
BOOKKEEPER-28;none;1;1
BOOKKEEPER-27;none;1;1
BOOKKEEPER-24;none;none;1
BOOKKEEPER-22;none;1;1
BOOKKEEPER-21;none;none;1
BOOKKEEPER-19;none;1;1
BOOKKEEPER-18;none;1;1
BOOKKEEPER-5;none;1;1
BOOKKEEPER-1;none;1;1
