Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
tajo,1,0.5,0.001075268817204301,0.004838709677419355,IBk,No Sampling,No Feature Selection,0.0,2.0,1849.0,9.0,0.0,0.0,0.5,-0.0017626321974022763
tajo,1,0.5,0.001075268817204301,0.004838709677419355,NaiveBayes,No Sampling,No Feature Selection,3.0,45.0,1806.0,6.0,0.0625,0.3333333333333333,0.6547811993517018,0.09791167408421614
tajo,1,0.5,0.001075268817204301,0.004838709677419355,RandomForest,No Sampling,No Feature Selection,0.0,1.0,1850.0,9.0,0.0,0.0,0.6601836844948676,-9.686793671225923E-4
tajo,1,0.5,0.001075268817204301,0.004838709677419355,IBk,No Sampling,Feature Selection,0.0,7.0,1844.0,9.0,0.0,0.0,0.6488684795005702,-0.004251872848750531
tajo,1,0.5,0.001075268817204301,0.004838709677419355,NaiveBayes,No Sampling,Feature Selection,2.0,35.0,1816.0,7.0,0.05405405405405406,0.2222222222222222,0.6545110750945435,0.0797936249911642
tajo,1,0.5,0.001075268817204301,0.004838709677419355,RandomForest,No Sampling,Feature Selection,0.0,3.0,1848.0,9.0,0.0,0.0,0.5464313584248754,-0.002425222312045285
tajo,1,0.002145922746781116,0.5,0.004838709677419355,IBk,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.650099045560958,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,NaiveBayes,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.6509094183324329,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,RandomForest,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.652019929167417,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,IBk,UnderSampling,Feature Selection,3.0,59.0,1792.0,6.0,0.04838709677419355,0.3333333333333333,0.6507293354943274,0.07670454545454611
tajo,1,0.002145922746781116,0.5,0.004838709677419355,NaiveBayes,UnderSampling,Feature Selection,3.0,56.0,1795.0,6.0,0.05084745762711865,0.3333333333333333,0.6511795425895912,0.08051475864708478
tajo,1,0.002145922746781116,0.5,0.004838709677419355,RandomForest,UnderSampling,Feature Selection,3.0,57.0,1794.0,6.0,0.05,0.3333333333333333,0.6510594873641875,0.07920792079208085
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,SMOTE,No Feature Selection,0.0,2.0,1849.0,9.0,0.0,0.0,0.5,-0.0017626321974022763
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,SMOTE,No Feature Selection,3.0,44.0,1807.0,6.0,0.06382978723404255,0.3333333333333333,0.6566720691518099,0.09983158139264849
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,SMOTE,No Feature Selection,0.0,1.0,1850.0,9.0,0.0,0.0,0.6380635092142386,-9.686793671225923E-4
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,SMOTE,Feature Selection,0.0,8.0,1843.0,9.0,0.0,0.0,0.6488084518878684,-0.0045749142203624854
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,SMOTE,Feature Selection,1.0,39.0,1812.0,8.0,0.025,0.1111111111111111,0.6500390179482562,0.03317850033178299
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,SMOTE,Feature Selection,0.0,4.0,1847.0,9.0,0.0,0.0,0.5485323248694399,-0.002986560477844387
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,OverSampling,No Feature Selection,0.0,5.0,1846.0,9.0,0.0,0.0,0.5730235908517918,-0.0034682080924905113
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,OverSampling,No Feature Selection,3.0,41.0,1810.0,6.0,0.06818181818181818,0.3333333333333333,0.6449666846749504,0.10602527917535973
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,OverSampling,No Feature Selection,0.0,8.0,1843.0,9.0,0.0,0.0,0.6522900534245754,-0.0045749142203624854
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,IBk,No Sampling,No Feature Selection,5.0,3.0,1830.0,22.0,0.625,0.18518518518518517,0.591774261987028,0.2809426609760623
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,NaiveBayes,No Sampling,No Feature Selection,4.0,37.0,1796.0,23.0,0.0975609756097561,0.14814814814814814,0.7183932432159382,0.10192651248129221
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,RandomForest,No Sampling,No Feature Selection,4.0,0.0,1833.0,23.0,1.0,0.14814814814814814,0.705845507263947,0.25527470231878435
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,IBk,No Sampling,Feature Selection,0.0,3.0,1830.0,27.0,0.0,0.0,0.3865551312359823,-0.002911679068262725
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,NaiveBayes,No Sampling,Feature Selection,1.0,27.0,1806.0,26.0,0.03571428571428571,0.037037037037037035,0.6101614434947769,0.021907369924991697
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,RandomForest,No Sampling,Feature Selection,0.0,3.0,1830.0,27.0,0.0,0.0,0.48308783415166395,-0.002911679068262725
tajo,2,0.011689691817215728,0.5,0.014516129032258065,IBk,UnderSampling,No Feature Selection,26.0,1823.0,10.0,1.0,0.014061654948620876,0.9629629629629629,0.6084035481198602,-9.222561110530879E-4
tajo,2,0.011689691817215728,0.5,0.014516129032258065,NaiveBayes,UnderSampling,No Feature Selection,5.0,56.0,1777.0,22.0,0.08196721311475409,0.18518518518518517,0.7032389727425188,0.0954322696494703
tajo,2,0.011689691817215728,0.5,0.014516129032258065,RandomForest,UnderSampling,No Feature Selection,13.0,66.0,1767.0,14.0,0.16455696202531644,0.48148148148148145,0.7222222222222222,0.22859186910945983
tajo,2,0.011689691817215728,0.5,0.014516129032258065,IBk,UnderSampling,Feature Selection,6.0,57.0,1776.0,21.0,0.09523809523809523,0.2222222222222222,0.595138510032127,0.11535506530567241
tajo,2,0.011689691817215728,0.5,0.014516129032258065,NaiveBayes,UnderSampling,Feature Selection,5.0,55.0,1778.0,22.0,0.08333333333333333,0.18518518518518517,0.576852356994201,0.09685962920923172
tajo,2,0.011689691817215728,0.5,0.014516129032258065,RandomForest,UnderSampling,Feature Selection,7.0,62.0,1771.0,20.0,0.10144927536231885,0.25925925925925924,0.6107373057727667,0.12762963725591187
tajo,2,0.7995257598620392,0.5,0.014516129032258065,IBk,SMOTE,No Feature Selection,5.0,3.0,1830.0,22.0,0.625,0.18518518518518517,0.5918045705279747,0.2809426609760623
tajo,2,0.7995257598620392,0.5,0.014516129032258065,NaiveBayes,SMOTE,No Feature Selection,4.0,38.0,1795.0,23.0,0.09523809523809523,0.14814814814814814,0.7184740659917965,0.10003807348181903
tajo,2,0.7995257598620392,0.5,0.014516129032258065,RandomForest,SMOTE,No Feature Selection,5.0,0.0,1833.0,22.0,1.0,0.18518518518518517,0.6196682225051019,0.3093670886075945
tajo,2,0.7995257598620392,0.5,0.014516129032258065,IBk,SMOTE,Feature Selection,0.0,6.0,1827.0,27.0,0.0,0.0,0.38528217251621505,-0.005306603773584962
tajo,2,0.7995257598620392,0.5,0.014516129032258065,NaiveBayes,SMOTE,Feature Selection,1.0,28.0,1805.0,26.0,0.034482758620689655,0.037037037037037035,0.610242266270635,0.02099537984677523
tajo,2,0.7995257598620392,0.5,0.014516129032258065,RandomForest,SMOTE,Feature Selection,0.0,6.0,1827.0,27.0,0.0,0.0,0.5460184680042836,-0.005306603773584962
tajo,2,0.7995257598620392,0.5,0.014516129032258065,IBk,OverSampling,No Feature Selection,10.0,250.0,1583.0,17.0,0.038461538461538464,0.37037037037037035,0.6294073669960195,0.044557312709222856
tajo,2,0.7995257598620392,0.5,0.014516129032258065,NaiveBayes,OverSampling,No Feature Selection,4.0,40.0,1793.0,23.0,0.09090909090909091,0.14814814814814814,0.7454890788224121,0.09641898769316389
tajo,2,0.7995257598620392,0.5,0.014516129032258065,RandomForest,OverSampling,No Feature Selection,9.0,26.0,1807.0,18.0,0.2571428571428571,0.3333333333333333,0.7056030389363722,0.27849775191748116
tajo,2,0.7995257598620392,0.5,0.014516129032258065,IBk,OverSampling,Feature Selection,0.0,0.0,1833.0,27.0,0.0,0.0,0.5449172576832151,0.0
tajo,2,0.7995257598620392,0.5,0.014516129032258065,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,1833.0,27.0,0.0,0.0,0.5449172576832151,0.0
tajo,2,0.7995257598620392,0.5,0.014516129032258065,RandomForest,OverSampling,Feature Selection,0.0,0.0,1833.0,27.0,0.0,0.0,0.5449172576832151,0.0
tajo,3,0.75,0.006810035842293907,0.021505376344086023,IBk,No Sampling,No Feature Selection,12.0,15.0,1805.0,28.0,0.4444444444444444,0.3,0.6458791208791209,0.34688878000980006
tajo,3,0.75,0.006810035842293907,0.021505376344086023,NaiveBayes,No Sampling,No Feature Selection,8.0,85.0,1735.0,32.0,0.08602150537634409,0.2,0.6863461538461538,0.09302325581395375
tajo,3,0.75,0.006810035842293907,0.021505376344086023,RandomForest,No Sampling,No Feature Selection,6.0,4.0,1816.0,34.0,0.6,0.15,0.7155494505494505,0.2334056399132344
tajo,3,0.75,0.006810035842293907,0.021505376344086023,IBk,No Sampling,Feature Selection,1.0,1.0,1819.0,39.0,0.5,0.025,0.40489697802197805,0.04566444330426091
tajo,3,0.75,0.006810035842293907,0.021505376344086023,NaiveBayes,No Sampling,Feature Selection,7.0,82.0,1738.0,33.0,0.07865168539325842,0.175,0.639842032967033,0.08126449617730498
tajo,3,0.75,0.006810035842293907,0.021505376344086023,RandomForest,No Sampling,Feature Selection,0.0,0.0,1820.0,40.0,0.0,0.0,0.49899725274725276,0.0
tajo,3,0.03925619834710744,0.5,0.021505376344086023,IBk,UnderSampling,No Feature Selection,40.0,1783.0,37.0,0.0,0.021941854086670324,1.0,0.6976236263736264,8.917435393783125E-4
tajo,3,0.03925619834710744,0.5,0.021505376344086023,NaiveBayes,UnderSampling,No Feature Selection,13.0,114.0,1706.0,27.0,0.10236220472440945,0.325,0.6931936813186813,0.1271383878053652
tajo,3,0.03925619834710744,0.5,0.021505376344086023,RandomForest,UnderSampling,No Feature Selection,40.0,1784.0,36.0,0.0,0.021929824561403508,1.0,0.7057829670329671,8.671773377655778E-4
tajo,3,0.03925619834710744,0.5,0.021505376344086023,IBk,UnderSampling,Feature Selection,14.0,119.0,1701.0,26.0,0.10526315789473684,0.35,0.6423076923076924,0.13318763257697402
tajo,3,0.03925619834710744,0.5,0.021505376344086023,NaiveBayes,UnderSampling,Feature Selection,12.0,113.0,1707.0,28.0,0.096,0.3,0.619423076923077,0.1166722802290329
tajo,3,0.03925619834710744,0.5,0.021505376344086023,RandomForest,UnderSampling,Feature Selection,14.0,121.0,1699.0,26.0,0.1037037037037037,0.35,0.6400068681318681,0.13117254528122074
tajo,3,0.8563040791100124,0.5,0.021505376344086023,IBk,SMOTE,No Feature Selection,12.0,16.0,1804.0,28.0,0.42857142857142855,0.3,0.645625,0.3412749517063733
tajo,3,0.8563040791100124,0.5,0.021505376344086023,NaiveBayes,SMOTE,No Feature Selection,8.0,87.0,1733.0,32.0,0.08421052631578947,0.2,0.686353021978022,0.0910061601642717
tajo,3,0.8563040791100124,0.5,0.021505376344086023,RandomForest,SMOTE,No Feature Selection,7.0,4.0,1816.0,33.0,0.6363636363636364,0.175,0.6843406593406594,0.26771653543307067
tajo,3,0.8563040791100124,0.5,0.021505376344086023,IBk,SMOTE,Feature Selection,3.0,3.0,1817.0,37.0,0.5,0.075,0.452135989010989,0.12552891396333052
tajo,3,0.8563040791100124,0.5,0.021505376344086023,NaiveBayes,SMOTE,Feature Selection,7.0,84.0,1736.0,33.0,0.07692307692307693,0.175,0.638853021978022,0.0793637363567148
tajo,3,0.8563040791100124,0.5,0.021505376344086023,RandomForest,SMOTE,Feature Selection,0.0,3.0,1817.0,40.0,0.0,0.0,0.5556593406593406,-0.003009781790818049
tajo,3,0.8563040791100124,0.5,0.021505376344086023,IBk,OverSampling,No Feature Selection,13.0,98.0,1722.0,27.0,0.11711711711711711,0.325,0.6548145604395604,0.14515773218618974
tajo,3,0.8563040791100124,0.5,0.021505376344086023,NaiveBayes,OverSampling,No Feature Selection,10.0,94.0,1726.0,30.0,0.09615384615384616,0.25,0.6845879120879121,0.11128236744759577
tajo,3,0.8563040791100124,0.5,0.021505376344086023,RandomForest,OverSampling,No Feature Selection,14.0,61.0,1759.0,26.0,0.18666666666666668,0.35,0.7074450549450549,0.22164502164502267
tajo,3,0.8563040791100124,0.5,0.021505376344086023,IBk,OverSampling,Feature Selection,0.0,0.0,1820.0,40.0,0.0,0.0,0.642293956043956,0.0
tajo,3,0.8563040791100124,0.5,0.021505376344086023,NaiveBayes,OverSampling,Feature Selection,7.0,62.0,1758.0,33.0,0.10144927536231885,0.175,0.642293956043956,0.10404624277456732
tajo,3,0.8563040791100124,0.5,0.021505376344086023,RandomForest,OverSampling,Feature Selection,0.0,0.0,1820.0,40.0,0.0,0.0,0.642293956043956,0.0
tajo,4,0.8,0.010483870967741936,0.02795698924731183,IBk,No Sampling,No Feature Selection,35.0,1.0,1807.0,17.0,0.9722222222222222,0.6730769230769231,0.8362619128658951,0.7906662665066031
tajo,4,0.8,0.010483870967741936,0.02795698924731183,NaiveBayes,No Sampling,No Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8801214686861811,0.0
tajo,4,0.8,0.010483870967741936,0.02795698924731183,RandomForest,No Sampling,No Feature Selection,34.0,4.0,1804.0,18.0,0.8947368421052632,0.6538461538461539,0.8776059394145678,0.7496451470804167
tajo,4,0.8,0.010483870967741936,0.02795698924731183,IBk,No Sampling,Feature Selection,6.0,2.0,1806.0,46.0,0.75,0.11538461538461539,0.9023091814159292,0.19399104434493988
tajo,4,0.8,0.010483870967741936,0.02795698924731183,NaiveBayes,No Sampling,Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8801214686861811,0.0
tajo,4,0.8,0.010483870967741936,0.02795698924731183,RandomForest,No Sampling,Feature Selection,5.0,0.0,1808.0,47.0,1.0,0.09615384615384616,0.8859928097345132,0.17137440758293812
tajo,4,0.07738095238095238,0.5,0.02795698924731183,IBk,UnderSampling,No Feature Selection,51.0,1734.0,74.0,1.0,0.02857142857142857,0.9807692307692307,0.8751116831177672,0.0012626966000037028
tajo,4,0.07738095238095238,0.5,0.02795698924731183,NaiveBayes,UnderSampling,No Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8660600323349217,0.0
tajo,4,0.07738095238095238,0.5,0.02795698924731183,RandomForest,UnderSampling,No Feature Selection,51.0,1733.0,75.0,1.0,0.02858744394618834,0.9807692307692307,0.8587155377808032,0.0012955870768285693
tajo,4,0.07738095238095238,0.5,0.02795698924731183,IBk,UnderSampling,Feature Selection,39.0,18.0,1790.0,13.0,0.6842105263157895,0.75,0.8567158781484002,0.7070300591427341
tajo,4,0.07738095238095238,0.5,0.02795698924731183,NaiveBayes,UnderSampling,Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8660600323349217,0.0
tajo,4,0.07738095238095238,0.5,0.02795698924731183,RandomForest,UnderSampling,Feature Selection,39.0,18.0,1790.0,13.0,0.6842105263157895,0.75,0.8577688904016337,0.7070300591427341
tajo,4,0.8878437047756874,0.5,0.02795698924731183,IBk,SMOTE,No Feature Selection,35.0,3.0,1805.0,17.0,0.9210526315789473,0.6730769230769231,0.8357407249829816,0.7724046791640157
tajo,4,0.8878437047756874,0.5,0.02795698924731183,NaiveBayes,SMOTE,No Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8802437882913546,0.0
tajo,4,0.8878437047756874,0.5,0.02795698924731183,RandomForest,SMOTE,No Feature Selection,34.0,10.0,1798.0,18.0,0.7727272727272727,0.6538461538461539,0.921928182437032,0.7006621298510216
tajo,4,0.8878437047756874,0.5,0.02795698924731183,IBk,SMOTE,Feature Selection,7.0,2.0,1806.0,45.0,0.7777777777777778,0.1346153846153846,0.9024155462899932,0.22309907219793018
tajo,4,0.8878437047756874,0.5,0.02795698924731183,NaiveBayes,SMOTE,Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.8801427416609938,0.0
tajo,4,0.8878437047756874,0.5,0.02795698924731183,RandomForest,SMOTE,Feature Selection,6.0,1.0,1807.0,46.0,0.8571428571428571,0.11538461538461539,0.9001606109598366,0.19806993725461497
tajo,4,0.8878437047756874,0.5,0.02795698924731183,IBk,OverSampling,No Feature Selection,38.0,44.0,1764.0,14.0,0.4634146341463415,0.7307692307692307,0.88651931586113,0.5518295722689364
tajo,4,0.8878437047756874,0.5,0.02795698924731183,NaiveBayes,OverSampling,No Feature Selection,0.0,0.0,1808.0,52.0,0.0,0.0,0.896437840367597,0.0
tajo,4,0.8878437047756874,0.5,0.02795698924731183,RandomForest,OverSampling,No Feature Selection,34.0,13.0,1795.0,18.0,0.723404255319149,0.6538461538461539,0.9006073434309054,0.6783299488987559
tajo,4,0.8878437047756874,0.5,0.02795698924731183,IBk,OverSampling,Feature Selection,5.0,2.0,1806.0,47.0,0.7142857142857143,0.09615384615384616,0.9020485874744725,0.16394525373353408
tajo,4,0.8878437047756874,0.5,0.02795698924731183,NaiveBayes,OverSampling,Feature Selection,0.0,3.0,1805.0,52.0,0.0,0.0,0.8795683713410484,-0.0030591834333459672
tajo,4,0.8878437047756874,0.5,0.02795698924731183,RandomForest,OverSampling,Feature Selection,5.0,2.0,1806.0,47.0,0.7142857142857143,0.09615384615384616,0.9037291524846834,0.16394525373353408
